"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","dshpct","gme_part_a","gme_part_b","beds","bed_days","medicare_days","medicaid_days","days","intres","employees","volunteers","medicare_disch","medicaid_disch","discharges","medicaid_hmo_discharges","medicaid_hmo_ipf_subprovider","medicaid_hmo_irf_subprovider","medicaid_ipf_subprovider","medicaid_irf_subprovider","total_discharges_subprovider_ipf","total_discharges_subprovider_irf"
"010001","010001",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","As Submitted","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301                                   ","HOUSTON                                 ",,,,8452291,,,0.131500005722046,,,408,148920,46186,15850,94243,,2271,,7941,3019,17956,,,,,,261,
"010005","010005",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Reopened","MARSHALL MEDICAL CENTER - SOUTH         ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957-                                  ","MARSHALL                                ",,,,3126729,,,0.121500000357628,,,204,74460,18969,6621,38225,,1070.64001464844,,4085,1544,9479,,,,,,,
"010006","010006",7/1/2013,"01-JUL-13",6/30/2014,"30-JUN-14","Settled","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO STREET                      ","818                                     ","FLORENCE                                ","AL                                      ","35630                                   ","LAUDERDALE                              ",,,,1498499,,,0.0826999992132187,,,358,130670,30673,8302,56768,,974.809997558594,,5783,1841,11805,,,,,,,
"010007","010007",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","As Submitted","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462-                                  ","COVINGTON                               ",,,,137657,,,0.0480000004172325,,,45,16425,3016,463,4350,,145.669998168945,,652,144,1080,,,,12,,285,
"010008","010008",1/1/2013,"01-JAN-13",12/31/2013,"31-DEC-13","As Submitted","CRENSHAW COMMUNITY HOSPITAL             ","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ","LUVERNE                                 ","AL                                      ","36049                                   ","CRENSHAW                                ",,,,120278,,,0.115599997341633,,,29,10614,1022,320,2164,,106.699996948242,,217,166,524,,,,104,,613,
"010011","010011",7/1/2013,"01-JUL-13",6/30/2014,"30-JUN-14","Settled","ST. VINCENTS EAST                       ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235-                                  ","JEFFERSON                               ",1541928,,,1500801,,,0.105599999427795,737558,251200,313,114245,25346,14173,82332,14.5500001907349,1136.42004394531,,4011,2040,15022,,,,21,8,441,226
"010012","010012",4/1/2013,"01-APR-13",3/31/2014,"31-MAR-14","Settled","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,505541,,,0.119999997317791,,,97,35405,4899,2733,11696,,357.230010986328,,1188,783,3206,,,,17,,319,
"010016","010016",1/1/2013,"01-JAN-13",12/31/2013,"31-DEC-13","Settled","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,1640000,,,0.0780000016093254,,,203,74240,17629,8733,53709,,845.190002441406,,3459,2212,11440,,,,,,349,
"010018","010018",10/1/2012,"01-OCT-12",12/31/2012,"31-DEC-12","Settled","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",15377,,,,,,,6517,93747,12,1104,33,6,52,7.38000011444092,174.770004272461,,10,2,17,,,,,,,
"010018","010018",1/1/2013,"01-JAN-13",9/30/2013,"30-SEP-13","Settled","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",37216,,,,,,,10126,225306,12,3276,69,5,147,7.51999998092651,184.210006713867,,21,1,47,,,,,,,
"010019","010019",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Settled","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660-                                  ","COLBERT                                 ",,,,3242690,,,0.173099994659424,,,185,67525,14754,8182,32477,,628.109985351562,,3114,2455,7745,,,,,,,
"010021","010021",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Settled","DALE MEDICAL CENTER                     ","126 HOSPITAL                            ",,"OZARK                                   ","AL                                      ","36360-                                  ","DALE                                    ",,,,525207,,,0.119999997317791,,,77,28105,3506,1932,8605,,287.230010986328,,737,403,1811,,,,27,,317,
"010022","010022",4/1/2013,"01-APR-13",3/31/2014,"31-MAR-14","Reopened","CHEROKEE MEDICAL CENTER                 ","100 NORTHWOOD DRIVE                     ",,"CENTRE                                  ","AL                                      ","35960-                                  ","CHEROKEE                                ",,,,350261,,,0.252700001001358,,,45,16425,2914,788,4355,,115,,458,169,816,,,,,,,
"010023","010023",7/1/2013,"01-JUL-13",6/30/2014,"30-JUN-14","Settled w/Audit","BAPTIST MEDICAL CENTER SOUTH            ","2105  EAST SOUTH BOULEVARD              ","11010                                   ","MONTGOMERY                              ","AL                                      ","36116-                                  ","MONTGOMERY                              ",2585649,,,4129678,,,0.24379999935627,449564,540361,363,132495,21192,20640,77158,50.2200012207031,1919,,4568,4109,15376,,,,660,,2093,
"010024","010024",1/1/2013,"01-JAN-13",12/31/2013,"31-DEC-13","Settled","JACKSON HOSPITAL AND CLINIC  INC        ","1725 PINE STREET                        ",,"MONTGOMERY                              ","AL                                      ","36106-1109                              ","MONTGOMERY                              ",,,,3456058,,,0.119300000369549,,,255,93075,25653,11146,62908,,1230.57995605469,,4593,2895,13590,,,,,,,
"010025","010025",7/1/2013,"01-JUL-13",1/31/2014,"31-JAN-14","Settled","GEORGE H. LANIER HOSPITAL               ","4800 48TH STREET                        ",,"VALLEY                                  ","AL                                      ","36854                                   ","CHAMBERS                                ",,,,342557,,,0.176400005817413,,,84,18060,3934,1575,7781,,449.529998779297,,584,239,1492,,,,,,,
"010029","010029",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Settled","EAST ALABAMA MEDICAL CENTER             ","2000 PEPPERELL PKWY                     ",,"OPELIKA                                 ","AL                                      ","36802-                                  ","LEE                                     ",,,,6290906,,,0.149000003933907,,,262,95630,28147,13187,63237,,1891.93005371094,,5090,2382,14634,,,,,,,
"010032","010032",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Settled","WEDOWEE HOSPITAL                        ","301 NORTH MAIN STREET                   ",,"WEDOWEE                                 ","AL                                      ","36278                                   ","RANDOLPH                                ",,,,168530,,,0.108000002801418,,,34,12410,1793,283,2633,,79.9199981689453,,386,68,627,,,,,,,
"010033","010033",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","As Submitted","UNIVERSITY OF ALABAMA HOSPITAL          ","619 SOUTH 19TH STREET                   ",,"BIRMINGHAM                              ","AL                                      ","35233                                   ","JEFFERSON                               ",24550301,,,27027739,,,0.219200000166893,6926941,1876598,971,354415,74530,84439,291044,830.039978027344,7304,,12020,12437,43166,,,,,118,2619,911
"010034","010034",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Settled","COMMUNITY HOSPITAL INC.                 ","805 FRIENDSHIP DRIVE                    ",,"TALLASSEE                               ","AL                                      ","36078                                   ","ELMORE                                  ",,,,280512,,,0.0834000036120415,,,37,13505,2960,745,5804,,229.600006103516,,612,141,1263,,,,1,,167,
"010035","010035",7/1/2013,"01-JUL-13",6/30/2014,"30-JUN-14","Settled","CULLMAN REGIONAL                        ","1912 ALABAMA HIGHWAY 157                ",,"CULLMAN                                 ","AL                                      ","35056                                   ","CULLMAN                                 ",,,,715027,,,0.086499996483326,,,115,41975,11451,3009,21682,,777,,2882,1424,6387,,,,,,,
"010036","010036",4/1/2013,"01-APR-13",3/31/2014,"31-MAR-14","Settled","ANDALUSIA REGIONAL HOSPITAL             ","849 THREE NOTCH STREET                  ",,"ANDALUSIA                               ","AL                                      ","36420                                   ","COVINGTON                               ",,,,795551,,,0.179900005459785,,,88,32120,5651,2335,10877,,238.369995117188,,1373,614,2999,,,,,,,
"010038","010038",7/1/2013,"01-JUL-13",6/30/2014,"30-JUN-14","Reopened","STRINGFELLOW MEMORIAL HOSPITAL          ","301 EAST 18TH STREET                    ","38                                      ","ANNISTON                                ","AL                                      ","36207                                   ","CALHOUN                                 ",,,,332010,,,0.0898000001907349,,,125,45625,6078,1369,11430,,248.449996948242,,1406,489,2986,,,,,,,
"010039","010039",7/1/2013,"01-JUL-13",6/30/2014,"30-JUN-14","As Submitted","HUNTSVILLE HOSPITAL                     ","101 SIVLEY ROAD                         ",,"HUNTSVILLE                              ","AL                                      ","35801-                                  ","MADISON                                 ",5331100,,,6942213,,,0.11879999935627,1500812,661897,839,306235,80257,43490,210158,58.1599998474121,5104.8798828125,,14846,,44813,,,,,,1572,
"010040","010040",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Settled","GADSDEN REGIONAL MEDICAL CENTER         ","1007 GOODYEAR AVENUE                    ",,"GADSDEN                                 ","AL                                      ","35999                                   ","ETOWAH                                  ",,,,5141406,,,0.134800001978874,,,261,95398,30690,13418,65727,,1020,,5007,2282,12910,,,,11,,282,
"010044","010044",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Settled","MARION REGIONAL MEDICAL CENTER          ","1256 MILITARY ST SOUTH                  ",,"HAMILTON                                ","AL                                      ","35570-                                  ","MARION                                  ",,,,100370,,,0.0456999987363815,,,36,13140,2055,161,2943,,137.720001220703,,443,67,747,,,,,,,
"010045","010045",10/1/2012,"01-OCT-12",9/30/2013,"30-SEP-13","Settled","FAYETTE MEDICAL CENTER                  ","1653 TEMPLE AVENUE NORTH                ",,"FAYETTE                                 ","AL                                      ","35555-                                  ","FAYETTE                                 ",,,,322289,,,0.0908999964594841,,,42,15330,4770,450,6458,,301.459991455078,,736,151,1184,,,,,,,
