"provider","prvdr_num","fyb","fybstr","fye","fyestr","status","hospital_name","street_addr","po_box","city","state","zip_code","county","ime1","ime2","ime3","dsh1","dsh2","dsh3","dshpct","gme_part_a","gme_part_b","beds","bed_days","medicare_days","medicaid_days","days","intres","employees","volunteers","medicare_disch","medicaid_disch","discharges","medicaid_hmo_discharges","medicaid_hmo_ipf_subprovider","medicaid_hmo_irf_subprovider","medicaid_ipf_subprovider","medicaid_irf_subprovider","total_discharges_subprovider_ipf","total_discharges_subprovider_irf"
"010001","010001",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","Amended","SOUTHEAST ALABAMA MEDICAL CENTER        ","1108 ROSS CLARK CIRCLE                  ","6987                                    ","DOTHAN                                  ","AL                                      ","36301                                   ","HOUSTON                                 ",,,,1724846,223358,,0.123400002717972,,,400,146000,43678,9014,89693,,2379.5,,8329,2849,18484,,,,,,,
"010005","010005",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","Amended","MARSHALL MEDICAL CENTER - SOUTH         ","2505 U.S. HIGHWAY 431                   ",,"BOAZ                                    ","AL                                      ","35957-                                  ","MARSHALL                                ",,,,759266,,,0.12720000743866,,,204,74460,18262,6598,38465,,1068.40002441406,,3739,1383,9368,254,,,,,,
"010006","010006",7/1/2015,"01-JUL-15",6/30/2016,"30-JUN-16","Amended","ELIZA COFFEE MEMORIAL HOSPITAL          ","205 MARENGO STREET                      ","818                                     ","FLORENCE                                ","AL                                      ","35630                                   ","LAUDERDALE                              ",,,,1072119,,,0.0967999994754791,,,358,131028,31348,9264,60737,,971.119995117188,,5992,2055,12713,44,,,,,,
"010007","010007",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","As Submitted","MIZELL MEMORIAL HOSPITAL                ","702 MAIN STREET                         ","429                                     ","OPP                                     ","AL                                      ","36462-                                  ","COVINGTON                               ",,,,27272,,,0.0300999991595745,,,45,16425,3448,517,5108,,135.309997558594,,813,198,1379,,,,20,,305,
"010008","010008",1/1/2015,"01-JAN-15",12/31/2015,"31-DEC-15","Amended","CRENSHAW COMMUNITY HOSPITAL             ","CRENSHAW COMMUNITY HOSPITAL             ","101 HOSPITAL CIRCLE                     ","LUVERNE                                 ","AL                                      ","36049                                   ","CRENSHAW                                ",,,,27920,,,0.127700001001358,,,29,10585,939,192,1836,,82.7099990844727,,218,77,352,,,,160,,568,
"010011","010011",7/1/2015,"01-JUL-15",6/30/2016,"30-JUN-16","Amended","ST. VINCENTS EAST                       ","50 MEDICAL PARK DRIVE EAST              ",,"BIRMINGHAM                              ","AL                                      ","35235-                                  ","JEFFERSON                               ",858958,,,822904,,,0.104900002479553,694969,222913,308,112687,24225,12303,86386,13.7299995422363,1133.02001953125,,3949,2026,15226,,,,23,11,385,323
"010012","010012",4/1/2015,"01-APR-15",3/31/2016,"31-MAR-16","Amended","DEKALB REGIONAL MEDICAL CENTER          ","200 MEDICAL CENTER DRIVE                ",,"FORT PAYNE                              ","AL                                      ","35967                                   ","DEKALB                                  ",,,,171851,,,0.119999997317791,,,97,35502,4129,3294,11323,,359.470001220703,,1022,846,3161,,,,,,280,
"010016","010016",1/1/2015,"01-JAN-15",10/2/2015,"02-OCT-15","As Submitted","SHELBY BAPTIST MEDICAL CENTER           ","1000 FIRST STREET NORTH                 ",,"ALABASTER                               ","AL                                      ","35007                                   ","SHELBY                                  ",,,,325695,,,0.0667999982833862,,,212,58300,13011,5998,40503,1.55999994277954,852.799987792969,,2441,1620,9401,,,,,,925,
"010018","010018",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","As Submitted","CALLAHAN EYE FOUNDATION HOSP            ","1720 UNIVERSITY BOULEVARD               ",,"BIRMINGHAM                              ","AL                                      ","35233-                                  ","JEFFERSON                               ",39878,,,,,,,15904,315762,12,4380,89,15,196,7.92999982833862,182.929992675781,,27,5,63,,,,,,,
"010019","010019",10/1/2014,"01-OCT-14",12/31/2014,"31-DEC-14","As Submitted","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660-                                  ","COLBERT                                 ",,,,167819,,,0.158299997448921,,,185,17020,2955,1513,6455,,524.880004882812,,663,540,1589,,,,,,,
"010019","010019",1/1/2015,"01-JAN-15",9/30/2015,"30-SEP-15","As Submitted","HELEN KELLER HOSPITAL                   ","1300 SOUTH MONTGOMERY AVENUE            ","610                                     ","SHEFFIELD                               ","AL                                      ","35660-                                  ","COLBERT                                 ",,,,541431,,,0.153899997472763,,,185,50505,10599,5053,22281,,68.0999984741211,,2359,1692,5359,,,,,,,
"010021","010021",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","Amended","DALE MEDICAL CENTER                     ","126 HOSPITAL                            ",,"OZARK                                   ","AL                                      ","36360-                                  ","DALE                                    ",,,,119749,,,0.119999997317791,,,77,28105,3332,2069,8336,,287.190002441406,,700,410,1641,,,,29,,273,
"010022","010022",4/1/2015,"01-APR-15",3/31/2016,"31-MAR-16","Amended","CHEROKEE MEDICAL CENTER                 ","100 NORTHWOOD DRIVE                     ",,"CENTRE                                  ","AL                                      ","35960-                                  ","CHEROKEE                                ",,,,112626,,,0.296299993991852,,,45,16470,2588,747,4779,,107.419998168945,,287,170,673,,,,,,,
"010023","010023",7/1/2015,"01-JUL-15",6/30/2016,"30-JUN-16","As Submitted","BAPTIST MEDICAL CENTER SOUTH            ","2105  EAST SOUTH BOULEVARD              ","11010                                   ","MONTGOMERY                              ","AL                                      ","36116-                                  ","MONTGOMERY                              ",2696665,,,2441887,,,0.223199993371964,534346,530755,329,120414,25640,26360,86443,44.7999992370605,1704.15002441406,,5047,4797,16403,,,,499,,2018,
"010024","010024",1/1/2015,"01-JAN-15",12/31/2015,"31-DEC-15","Amended","JACKSON HOSPITAL AND CLINIC  INC        ","1725 PINE STREET                        ",,"MONTGOMERY                              ","AL                                      ","36106-1109                              ","MONTGOMERY                              ",,,,1117233,,,0.116700001060963,,,255,93075,26110,11281,66658,,1202.68005371094,,4868,2179,13536,,,,,,,
"010029","010029",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","Amended","EAST ALABAMA MEDICAL CENTER             ","2000 PEPPERELL PKWY                     ",,"OPELIKA                                 ","AL                                      ","36802-                                  ","LEE                                     ",,,,1598352,,,0.133100003004074,,,332,121180,40918,14973,79137,,2254.61010742188,,6163,3133,15846,,,,,,,
"010032","010032",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","As Submitted","WEDOWEE HOSPITAL                        ","301 NORTH MAIN STREET                   ",,"WEDOWEE                                 ","AL                                      ","36278                                   ","RANDOLPH                                ",,,,8699,,,0.0474000014364719,,,34,12410,841,114,1535,,72.2099990844727,,188,39,381,,,,,,,
"010033","010033",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","Amended","UNIVERSITY OF ALABAMA HOSPITAL          ","619 SOUTH 19TH STREET                   ",,"BIRMINGHAM                              ","AL                                      ","35233                                   ","JEFFERSON                               ",21143882,,,6752134,,,0.199000000953674,7638546,2917895,1017,371554,79361,83338,304948,546.719970703125,7836,,12386,12100,43121,,,,,173,2641,1121
"010034","010034",10/1/2014,"01-OCT-14",9/30/2015,"30-SEP-15","As Submitted","COMMUNITY HOSPITAL INC.                 ","805 FRIENDSHIP DRIVE                    ",,"TALLASSEE                               ","AL                                      ","36078                                   ","ELMORE                                  ",,,,56371,,,0.0890000015497208,,,37,13505,2305,578,5111,,160.029998779297,,492,153,1154,,,,6,,146,
"010035","010035",7/1/2015,"01-JUL-15",6/30/2016,"30-JUN-16","As Submitted","CULLMAN REGIONAL                        ","1912 ALABAMA HIGHWAY 157                ",,"CULLMAN                                 ","AL                                      ","35056                                   ","CULLMAN                                 ",,,,432219,,,0.0804999992251396,,,115,42090,14138,3666,27014,,816.340026855469,,3295,1510,7495,,,,,,,
"010036","010036",4/1/2015,"01-APR-15",3/31/2016,"31-MAR-16","Amended","ANDALUSIA REGIONAL HOSPITAL             ","849 THREE NOTCH STREET                  ",,"ANDALUSIA                               ","AL                                      ","36420                                   ","COVINGTON                               ",,,,370953,,,0.215200006961823,,,88,32208,5199,2647,10310,,237.779998779297,,1325,636,2936,,,,,,,
